Taxon,Genus,Species,Taxon Aphia ID,Soniferous Category,Reference Aphia ID,Notes
Entomacrodus cymatobiotus,Entomacrodus,cymatobiotus,277245,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus decussatus,Entomacrodus,decussatus,277246,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus epalzeocheilos,Entomacrodus,epalzeocheilos,219283,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus lemuria,Entomacrodus,lemuria,277247,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus lighti,Entomacrodus,lighti,310505,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus longicirrus,Entomacrodus,longicirrus,712836,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus macrospilus,Entomacrodus,macrospilus,277248,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus marmoratus,Entomacrodus,marmoratus,310506,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus nigricans,Entomacrodus,nigricans,277249,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus niuafoouensis,Entomacrodus,niuafoouensis,219281,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus plurifilis,Entomacrodus,plurifilis,298239,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus randalli,Entomacrodus,randalli,277250,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus rofeni,Entomacrodus,rofeni,277251,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus sealei,Entomacrodus,sealei,277252,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus solus,Entomacrodus,solus,712837,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus stellifer,Entomacrodus,stellifer,293591,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus strasburgi,Entomacrodus,strasburgi,277254,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus striatus,Entomacrodus,striatus,219282,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus textilis,Entomacrodus,textilis,277255,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus thalassinus,Entomacrodus,thalassinus,219285,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus vermiculatus,Entomacrodus,vermiculatus,219284,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus vomerinus,Entomacrodus,vomerinus,277256,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomacrodus williamsi,Entomacrodus,williamsi,277257,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomocorus benjamini,Entomocorus,benjamini,1017063,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomocorus gameroi,Entomocorus,gameroi,1012060,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomocorus melaphareus,Entomocorus,melaphareus,1009662,Likely to produce sound under natural conditions but unconfirmed,452075,
Entomocorus radiosus,Entomocorus,radiosus,1008939,Likely to produce sound under natural conditions but unconfirmed,452075,
Entosphenus folletti,Entosphenus,folletti,1012757,Unknown or undetermined,452074,
Entosphenus lethophagus,Entosphenus,lethophagus,1524438,Unknown or undetermined,452074,
Entosphenus macrostoma,Entosphenus,macrostoma,1012282,Unknown or undetermined,452074,
